rank,name,year,total
814,Birds of prey: and the fantabulous emancipation of one harley quinn,2020,201858461
815,Straight outta compton,2015,201634991
816,21 jump street,2012,201585328
817,Valkyrie,2008,201545517
818,Open season,2006,200811689
819,Cats & dogs,2001,200687492
820,The hunt for red october,1990,200512643
821,Percy jackson: sea of monsters,2013,199850315
822,Two weeks notice,2002,199043242
823,Red,2010,199006387
824,City of angels,1998,198685114
825,The pacifier,2005,198636868
826,50 first dates,2004,198520934
827,Total recall,2012,198467168
828,The island,2018,198326350
829,The impossible,2012,198087212
830,Lost in thailand,2012,197757387
831,Christopher robin,2018,197744377
832,Jack the giant slayer,2013,197687603
833,Smurfs: the lost village,2017,197183546
834,Spy kids 3-d: game over,2003,197101678
835,Panic room,2002,197079546
836,The other woman,2014,196710396
837,Stargate,1994,196567262
838,Beowulf,2007,196393745
839,The vow,2012,196114570
840,Anger management,2003,195745823
841,Tropic thunder,2008,195702811
842,The shape of water,2017,195333312
843,The pelican brief,1993,195268056
844,The bfg,2016,195243411
845,Rocketman,2019,195179299
846,The intern,2015,194564672
847,Wallace & gromit: the curse of the were-rabbit,2005,194111171
848,Gnomeo & juliet,2011,193967670
849,The sum of all fears,2002,193921372
850,Gangs of new york,2002,193772504
851,The monkey king 2,2016,193678298
852,Paranormal activity,2009,193355800
853,Weathering with you,2019,193168568
854,Downton abbey,2019,192798625
855,The equalizer,2014,192330738
856,The lego movie 2: the second part,2019,192306508
857,The addams family,1991,191502426
858,The longest yard,2005,191466556
859,Cheaper by the dozen,2003,190538630
860,The equalizer 2,2018,190400157
861,Hollow man,2000,190213455
862,Outbreak,1995,189859560
863,The santa clause,1994,189833357
864,The white storm 2: drug lords,2019,189396380
865,The x files,1998,189176423
866,Breakup buddies,2014,189017596
867,Rambo iii,1988,189015611
868,The secret life of walter mitty,2013,188133322
869,Project gutenberg,2018,188116796
870,Jaws 2,1978,187884007
871,12 years a slave,2013,187733202
872,Heat,1995,187436818
873,Mr. popper's penguins,2011,187361754
874,The grudge,2004,187281115
875,I now pronounce you chuck & larry,2007,187134117
876,The horse whisperer,1998,186883563
877,Walk the line,2005,186797986
878,Jian bing man,2015,186699768
879,The jungle book 2,2003,186303759
880,The final destination,2009,186167139
881,Atlantis: the lost empire,2001,186053725
882,Inside man,2006,186003591
883,The waterboy,1998,185991646
884,Hugo,2011,185770160
885,Pitch perfect 3,2017,185400345
886,Watchmen,2009,185382813
887,The birdcage,1996,185260553
888,Moulin rouge!,2001,184935030
889,Snow white and the seven dwarfs,1937,184925486
890,Hop,2011,183953723
891,Bad moms,2016,183936074
892,Jupiter ascending,2015,183887723
893,Knowing,2007,183658498
894,102 dalmatians,2000,183611771
895,Stand by me doraemon,2014,183442714
896,Storks,2016,183388953
897,Paul blart: mall cop,2009,183348429
898,Wayne's world,1992,183097323
899,Maverick,1994,183031272
900,Mirror mirror,2012,183018522
901,The man in the iron mask,1998,182968902
902,Cape fear,1991,182291969
903,The haunted mansion,2003,182290266
904,The monkey king havoc in heavens palace,2014,182206924
905,While you were sleeping,1995,182057016
906,The bridges of madison county,1995,182016617
907,From vegas to macau iii,2016,181732879
908,Abominable,2019,181714959
909,Poseidon,2006,181674817
910,The first wives club,1996,181489203
911,Scooby-doo 2: monsters unleashed,2004,181216833
912,Hot shots!,1991,181096164
913,Road to perdition,2002,181001478
914,Kill bill: vol. 1,2003,180899045
915,The scorpion king,2002,180630907
916,Sweet home alabama,2002,180622424
917,Daddy's home 2,2017,180613180
918,Deja vu,2006,180557550
919,Hacksaw ridge,2016,180450918
920,The post,2017,179769457
921,Dangerous minds,1995,179519401
922,The dictator,2012,179379533
923,The league of extraordinary gentlemen,2003,179265204
924,Allegiant,2016,179246868
925,Daredevil,2003,179179718
926,City slickers,1991,179033791
927,He's just not that into you,2009,178866158
928,Eagle eye,2008,178767383
929,Along came polly,2004,178311729
930,Flushed away,2006,178281554
931,Scary movie 4,2006,178262620
932,Dante's peak,1997,178127760
933,Brokeback mountain,2005,178062759
934,Patriot games,1992,178051587
935,Flubber,1997,177977226
936,Baywatch,2017,177856751
937,Double jeopardy,1999,177841558
938,War horse,2011,177584879
939,Paranormal activity 2,2010,177512032
940,How to lose a guy in 10 days,2003,177502387
941,Alien vs. predator,2004,177427090
942,Hero,2002,177395557
943,The 40-year-old virgin,2005,177378645
944,Lee daniels' the butler,2013,177313795
945,The haunting,1999,177311151
946,The descendants,2011,177243185
947,The a-team,2010,177238796
948,Tootsie,1982,177200000
949,In the line of fire,1993,176997168
950,Analyze this,1999,176885658
951,The hitman's bodyguard,2017,176594371
952,Looper,2012,176506819
953,Serial (bad) weddings,2014,176404493
954,Dr. dolittle 2,2001,176104344
955,The italian job,2003,176070171
956,Ip man 4: the finale,2019,175695381
957,The bucket list,2007,175372502
958,Sleeping with the enemy,1991,174999005
959,Cowboys & aliens,2011,174822325
960,The mule,2018,174804407
961,George of the jungle,1997,174463257
962,Evan almighty,2007,174440724
963,Identity thief,2013,173965010
964,The nutcracker and the four realms,2018,173961069
965,Big momma's house,2000,173959438
966,In time,2011,173930596
967,Amélie,2001,173924742
968,Operation mekong,2016,173839072
969,Anchorman 2: the legend continues,2013,173649931
970,Creed,2015,173567581
971,Gemini man,2019,173469516
972,The girl on the train,2016,173185859
973,Scream,1996,173046663
974,Cold mountain,2003,173013509
975,Black hawk down,2001,172989651
976,The grand budapest hotel,2014,172936941
977,The santa clause 2,2002,172855065
978,Cloverfield,2008,172394180
979,Scream 2,1997,172363301
980,Couples retreat,2009,171844840
981,Antz,1998,171757863
982,Blood diamond,2006,171720398
983,Jackass 3d,2010,171685792
984,No country for old men,2007,171627166
985,Spies in disguise,2019,171616764
986,John wick: chapter 2,2017,171539887
987,Cocktail,1988,171504781
988,Chinese zodiac,2012,171339013
989,Mr. deeds,2002,171269535
990,Contact,1997,171120329
991,Superbad,2007,170812526
992,The other guys,2010,170458922
993,The specialist,1994,170362582
994,Olympus has fallen,2013,170270201
995,Starsky & hutch,2004,170268750
996,Shall we dance,2004,170128460
997,Stuart little 2,2002,169956806
998,Zookeeper,2011,169852759
999,Dumb and dumber to,2014,169837010
1000,Ghost in the shell,2017,169801921
1001,Seven pounds,2008,169748929
1002,Meet the robinsons,2007,169333034
1003,The emperor's new groove,2000,169327687
1004,12 monkeys,1995,168839459
1005,Dodgeball,2004,168423227
1006,Hellboy ii: the golden army,2008,168319243
1007,Insidious: the last key,2018,167885588
1008,Fantastic four,2015,167882881
1009,Unstoppable,2010,167805466
1010,Three men and a baby,1987,167780960
1011,Magic mike,2012,167739368
1012,Princess mononoke,1999,167693877
1013,Sheep without a shepherd,2019,167377288
1014,Alexander,2004,167298192
1015,Up in the air,2009,166842739
1016,Nutty professor ii: the klumps,2000,166339890
1017,Sleepers,1996,165615285
1018,Bridge of spies,2015,165478348
1019,The princess diaries,2001,165335153
1020,The muppets,2011,165184237
1021,The huntsman: winter's war,2016,164989338
1022,Saw iii,2006,164874275
1023,Six days seven nights,1998,164839294
1024,Bringing down the house,2003,164729679
1025,Deep blue sea,1999,164648142
1026,Speed 2: cruise control,1997,164508066
1027,Daddy day care,2003,164433867
1028,Miami vice,2006,164231296
1029,The spiderwick chronicles,2008,164170327
1030,The pink panther,2006,164115897
1031,Four christmases,2008,164112721
1032,The ring two,2005,163995949
1033,From vegas to macau ii,2015,163877532
1034,Burn after reading,2008,163728902
1035,Pokémon: the first movie - mewtwo strikes back,1999,163644662
1036,The happening,2008,163403799
1037,Talladega nights: the ballad of ricky bobby,2006,163362095
1038,World trade center,2006,163247198
1039,The island,2005,162949164
1040,The interpreter,2005,162944923
1041,Dick tracy,1990,162738726
1042,27 dresses,2008,162655351
1043,The magnificent seven,2016,162360636
1044,Memoirs of a geisha,2005,162242962
1045,Eyes wide shut,1999,162242684
1046,Jack reacher: never go back,2016,162146076
1047,Insidious: chapter 2,2013,161919318
1048,Limitless,2011,161849455
1049,Scream 3,2000,161834276
1050,Flight,2012,161772375
1051,Payback,1999,161626121
1052,Into the storm,2014,161502194
1053,Unbroken,2014,161459297
1054,Alien: resurrection,1997,161376069
1055,Born on the fourth of july,1989,161001698
1056,Freaky friday,2003,160846332
1057,Legends of the fall,1994,160638883
1058,The predator,1987,160542134
1059,Johnny english,2003,160466000
1060,"Three billboards outside ebbing, missouri",2017,160192031
1061,The war of the roses,1989,160188546
1062,Underworld awakening,2012,160112671
1063,Lara croft tomb raider: the cradle of life,2003,160099222
1064,Johnny english reborn,2011,160078586
1065,Alien³,1992,159814498
1066,Norbit,2007,159814490
1067,21,2008,159808370
1068,Stepmom,1998,159710793
1069,The sound of music,1965,159413574
1070,The jackal,1997,159330280
1071,Step up 3d,2010,159291809
1072,Daylight,1996,159212469
1073,Happy feet two,2011,159196259
1074,Unforgiven,1992,159157447
1075,Johnny english strikes again,2018,158970776
1076,The fast and the furious: tokyo drift,2006,158964610
1077,Focus,2015,158762963
1078,Sin city,2005,158733820
1079,Goosebumps,2015,158260952
1080,Days of thunder,1990,157920733
1081,Final destination 5,2011,157887643
1082,Don't breathe,2016,157830487
1083,Hustlers,2019,157563598
1084,Crimson tide,1995,157387195
1085,The book of eli,2010,157107755
1086,Ip man 3,2015,157029618
1087,P.s. i love you,2007,156835339
1088,The climbers,2019,156759167
1089,The monuments men,2014,156706638
1090,Mystic river,2003,156595191
1091,Under siege,1992,156563139
1092,This means war,2012,156491279
1093,Licence to kill,1989,156167015
1094,The sting,1973,156000000
1095,Rocky balboa,2006,155929020
1096,The hateful eight,2015,155760117
1097,Escape room,2019,155712077
1098,Hannah montana: the movie,2009,155545279
1099,Monster-in-law,2005,155457327
1100,Dreamgirls,2006,155430335
1101,The accountant,2016,155160045
1102,Bayside shakedown 2,2003,155138312
1103,Shin godzilla,2016,155108098
1104,Blade ii,2002,155010032
1105,Maid in manhattan,2002,154906693
1106,Cool runnings,1993,154856263
1107,Lone survivor,2013,154802912
1108,Green zone,2009,154711438
1109,The phantom of the opera,2004,154648887
1110,Ride along,2014,154468902
1111,Kill bill: vol. 2,2004,154116796
1112,The town,2010,154026136
1113,Midnight in paris,2011,153959590
1114,Free willy,1993,153698625
1115,Another 48 hrs.,1990,153518974
1116,Gremlins,1984,153474030
1117,Sweeney todd: the demon barber of fleet street,2007,153383627
1118,Monkey king: hero is back,2015,153262397
1119,Yesterday,2019,153089026
1120,The devil's advocate,1997,152944660
1121,Tower heist,2011,152930623
1122,Duckweed,2017,152894264
1123,Chocolat,2000,152699946
1124,Backdraft,1991,152368585
1125,A time to kill,1996,152266007
1126,Date night,2010,152263880
1127,Vantage point,2008,152039882
1128,Phenomenon,1996,152036382
1129,Congo,1995,152022101
1130,Surf's up,2007,152005713
1131,Big,1988,151927281
1132,Romeo + juliet,1996,151841661
1133,Jackass presents: bad grandpa,2013,151826547
1134,47 ronin,2013,151783839
1135,Red sparrow,2018,151572634
1136,The bone collector,1999,151493655
1137,Step up 2: the streets,2008,150988382
1138,Darkest hour,2017,150847207
1139,Gods of egypt,2015,150680864
1140,Broken arrow,1996,150270147
1141,The taking of pelham 123,2009,150166126
1142,I am number four,2011,149878437
1143,The general's daughter,1999,149705852
1144,Jack and jill,2011,149673788
1145,Friends with benefits,2011,149542245
1146,Beverly hills chihuahua,2008,149292488
1147,"Me, myself & irene",2000,149270999
1148,No strings attached,2011,149228077
1149,The secret world of arrietty,2010,149184563
1150,Death becomes her,1992,149022650
1151,Charlotte's web,2006,148963822
1152,Lights out,2016,148868835
1153,King arthur: legend of the sword,2017,148675066
1154,Seabiscuit,2003,148336445
1155,Red 2,2013,148075565
1156,Spy kids,2001,147934180
1157,The game plan,2007,147880543
1158,The mexican,2001,147845033
1159,The angry birds movie 2,2016,147792047
1160,Saw ii,2005,147748505
1161,Resident evil: extinction,2007,147717833
1162,Arthur christmas,2011,147419472
1163,Source code,2011,147332697
1164,Beethoven,1992,147214049
1165,Swordfish,2001,147080413
1166,Planes: fire & rescue,2014,146965787
1167,The last witch hunter,2015,146936910
1168,Angel has fallen,2019,146661977
1169,Mama,2013,146428180
1170,Star trek: first contact,1996,146027888
1171,Music and lyrics,2007,145896422
1172,Oceans,2009,145880559
1173,Time raiders,2016,145819137
1174,Driving miss daisy,1989,145793296
1175,Blades of glory,2007,145710347
1176,The foreigner,2017,145374099
1177,Home on the range,2004,145358062
1178,The exorcism of emily rose,2005,145166804
1179,"Crazy, stupid, love",2011,145051197
1180,Herbie fully loaded,2005,144146816
1181,The beach,2000,144056873
1182,Pete's dragon,2016,143695338
1183,Garfield: a tail of two kitties,2006,143325970
1184,Spy game,2001,143049560
1185,More than blue,2018,142958164
1186,Meet joe black,1998,142940100
1187,Paranormal activity 4,2012,142802657
1188,The legend of zorro,2005,142400065
1189,Power rangers,2017,142337240
1190,New year's eve,2011,142044638
1191,Monster house,2006,141861243
1192,Legally blonde,2001,141774679
1193,The taking of tiger mountain,2014,141654055
1194,National lampoon's animal house,1978,141600000
1195,Gothika,2003,141591324
1196,Big momma's house 2,2006,141522961
1197,Die hard,1988,141482154
1198,Bad boys,1995,141407024
1199,Mona lisa smile,2003,141337989
1200,Scary movie 2,2001,141220678
1201,Shallow hal,2001,141069860
1202,The spongebob squarepants movie,2004,141067127
1203,Evita,1996,141047179
1204,The rugrats movie,1998,140894675
1205,The devil's own,1997,140807547
1206,Trainwreck,2015,140795793
1207,Sausage party,2016,140705322
1208,Girls trip,2017,140552359
1209,Step up revolution,2012,140470746
1210,Lion,2016,140312928
1211,Sommersby,1993,140081992
1212,Legend of the guardians: the owls of ga'hoole,2010,140073390
1213,Hoodwinked!,2005,139998200
1214,Anastasia,1997,139804348
1215,The wolfman,2010,139789765
1216,Saw iv,2007,139352633
1217,Mr. six,2015,139191345
1218,Brüno,2009,138805831
1219,Bird on a wire,1990,138697012
1220,Platoon,1986,138545632
1221,Nine months,1995,138510230
1222,The admiral: roaring currents,2014,138342258
1223,America's sweethearts,2001,138307673
1224,Let's be cops,2014,138224951
1225,Far and away,1992,137783840
